Stock,Quarterly Diluted Normalized EPS Total Score,Annual Diluted Normalized EPS Total Score
AMZN.OQ,6,6
HD,3,7
NKE,2,2
MCD,4,7
LOW,3,5
SBUX.OQ,4,3
BKNG.OQ,6,7
TJX,4,7
GM,5,2
ROST.OQ,6,7
CMG,5,7
F,6,5
EBAY.OQ,3,6
MAR.OQ,4,1
APTV.N,4,2
ORLY.OQ,2,7
YUM,6,6
BLL,6,7
HLT.N,0,7
VFC,4,2
AZO,3,6
DHI,7,7
BBY,6,7
ETSY.OQ,6,7
LEN,6,2
IP,1,3
LVS,0,3
AMCR.N,2,0
TSCO.OQ,2,7
EXPE.OQ,0,7
KMX,2,7
DRI,6,3
ULTA.OQ,6,7
DPZ,0,7
NVR,4,7
POOL.OQ,3,7
GPC,4,6
TIF,6,3
RCL,0,7
PKG,5,3
MGM,0,0
FBHS.N,7,7
PHM,2,7
WHR,4,4
HAS.OQ,4,5
WRK,6,7
CCL,0,2
AAP,2,6
WYNN.OQ,0,3
LKQ.OQ,5,6
BWA,5,3
LB,6,2
ROL,6,7
TPR,4,2
MHK,4,1
NCLH.N,0,7
SEE,5,6
PVH,4,2
LEG,4,4
RL,4,3
HBI,2,6
GPS,4,2
UAA,4,6
UA,4,6
