Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
AMZN,6,7,6,7,,,26
HD,3,7,3,7,,,20
NKE,6,3,6,3,,,18
MCD,4,7,4,4,,,19
LOW,3,7,3,7,,,20
SBUX,4,3,4,3,,,14
BKNG,4,7,4,7,,,22
TJX,6,7,6,7,,,26
GM,5,0,5,2,,,12
ROST,6,7,6,7,,,26
CMG,4,7,4,7,,,22
F,4,0,4,3,,,11
EBAY,6,3,6,7,,,22
MAR,4,7,4,7,,,22
APTV,4,2,4,3,,,13
ORLY,6,7,6,7,,,26
YUM,4,5,4,0,,,13
BLL,7,3,7,3,,,20
HLT,4,7,4,7,,,22
VFC,4,5,4,5,,,18
AZO,3,7,3,7,,,20
DHI,7,7,7,7,,,28
BBY,6,7,6,7,,,26
ETSY,6,7,6,7,,,26
LEN,7,7,7,7,,,28
IP,4,3,4,3,,,14
LVS,4,7,4,7,,,22
AMCR,3,4,3,7,,,17
TSCO,2,7,2,7,,,18
EXPE,4,7,4,7,,,22
KMX,2,7,2,7,,,18
DRI,6,3,6,3,,,18
ULTA,6,7,6,7,,,26
DPZ,6,7,6,7,,,26
NVR,6,7,6,7,,,26
POOL,3,7,3,7,,,20
Gpc,4,7,4,7,,,22
TIF,6,3,6,3,,,18
RCL,0,7,0,7,,,14
PKG,4,3,4,3,,,14
MGM,4,7,4,7,,,22
FBHS,4,7,4,7,,,22
PHM,6,3,6,7,,,22
WHR,4,0,4,1,,,9
HAS,4,5,4,5,,,18
WRK,5,3,5,3,,,16
CCL,1,7,1,7,,,16
AAP,5,6,5,6,,,22
WYNN,4,3,4,3,,,14
LKQ,5,7,4,7,,,23
BWA,4,3,4,3,,,14
LB,6,2,6,3,,,17
ROL,6,7,6,7,,,26
TPR,4,3,4,3,,,14
MHK,4,1,4,3,,,12
NCLH,0,7,0,7,,,14
SEE,4,7,4,7,,,22
PVH,6,7,6,7,,,26
LEG,4,6,4,7,,,21
RL,4,2,4,2,,,12
HBI,6,7,6,7,,,26
GPS,6,7,6,3,,,22
UAA,4,7,4,7,,,22
UA,4,7,4,7,,,22
